"Techstack","Links"
"React, Node.js, MongoDB","https://Apurva.com/react-portfolio"
"Angular,.NET, SQL Server","https://Apurva.com/angular-portfolio"
"Vue.js, Ruby on Rails, PostgreSQL","https://Apurva.com/vue-portfolio"
"Python, Django, MySQL","https://Apurva.com/python-portfolio"
"Java, Spring Boot, Oracle","https://Apurva.com/java-portfolio"
"Flutter, Firebase, GraphQL","https://Apurva.com/flutter-portfolio"
"WordPress, PHP, MySQL","https://Apurva.com/wordpress-portfolio"
"Magento, PHP, MySQL","https://Apurva.com/magento-portfolio"
"React Native, Node.js, MongoDB","https://Apurva.com/react-native-portfolio"
"iOS, Swift, Core Data","https://Apurva.com/ios-portfolio"
"Android, Java, Room Persistence","https://Apurva.com/android-portfolio"
"Kotlin, Android, Firebase","https://Apurva.com/kotlin-android-portfolio"
"Android TV, Kotlin, Android NDK","https://Apurva.com/android-tv-portfolio"
"iOS, Swift, ARKit","https://Apurva.com/ios-ar-portfolio"
"Cross-platform, Xamarin, Azure","https://Apurva.com/xamarin-portfolio"
"Backend, Kotlin, Spring Boot","https://Apurva.com/kotlin-backend-portfolio"
"Frontend, TypeScript, Angular","https://Apurva.com/typescript-frontend-portfolio"
"Full-stack, JavaScript, Express.js","https://Apurva.com/full-stack-js-portfolio"
"Machine Learning, Python, TensorFlow","https://Apurva.com/ml-python-portfolio"
"DevOps, Jenkins, Docker","https://Apurva.com/devops-portfolio"